x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
-193.8471222,103.5643234,-78.50293732,-14.30477333,-7.080134869,-42.72390747,-24.71864128,-13.92721653,-23.18750381,3.153611183,-8.573107719,-5.823914528,-5.705474854,1
-227.01091,104.13591,-78.14232635,-11.58902168,-10.92049026,-38.02768707,-20.37663841,-18.30001068,-21.90483475,-0.249651343,-10.07124901,-7.514316082,-0.487900466,1
-199.7280884,111.2809753,-72.43410492,-13.99311543,-2.592581511,-31.49180222,-29.56971931,-7.5309062,-27.09407616,-1.185130715,-12.26194954,-11.21822071,-2.165800333,1
-194.537735,98.80883789,-74.43202209,-7.350512505,-8.373986244,-35.56529617,-23.36267853,-11.51148987,-21.04918671,-0.004684554,-3.720528126,-6.169445992,-5.74773407,1
-167.7776184,120.4080048,-19.12808228,-0.873255491,7.351006031,-5.527563572,-5.385377407,9.247051239,-10.20368099,3.886583328,-1.243317485,-1.549229026,-3.029771566,1
-213.750946,82.26382446,-46.34697723,-9.171423912,-0.752884984,-16.97715378,-16.15430069,-1.812774181,-20.14137268,2.44038105,-4.078293324,-6.723437786,-8.626729012,1
-211.8039093,93.82828522,-62.53233719,-5.97511816,-8.780349731,-30.66722298,-17.71769905,-8.096606255,-16.31906891,-2.466743231,-6.413128853,-6.249512672,-7.952458858,1
-235.0200348,116.4598465,-49.97262955,-11.83518505,-0.071517482,-17.86693192,-17.28992844,-6.61584568,-18.16181946,2.527153969,-2.550006628,-12.31952095,-0.634754837,1
-197.8106079,136.601593,-46.77073288,-0.615640819,2.885647058,-8.239439011,-8.333693504,-2.422984123,-9.854970932,6.06388092,0.499291658,-8.321854591,-4.221330643,1
-207.1630707,103.3529434,-55.13595581,-12.2847414,-0.626990914,-19.84897232,-12.70239353,-4.646314144,-11.55257607,1.905905008,-1.867076159,-6.884093761,-13.46811867,1
-210.9723816,94.07831573,-49.45026016,-16.72371864,-0.575338364,-22.78465843,-17.9444828,-6.334758759,-22.38986969,-4.706526756,-5.864230633,-8.834580421,-8.984189034,1
-206.6405182,103.1013794,-47.7238121,-13.29881859,-8.042860031,-22.74934196,-21.80671692,-11.36279678,-20.38034821,-11.65095711,-5.130912781,-2.936249018,-10.48636436,1
-218.772049,106.0896912,-52.15268707,-11.503582,-2.027537584,-22.48627281,-21.53796768,-12.80594063,-17.01958084,-5.013392448,-3.542619228,-6.108697891,-5.775574207,1
